x,R,m,model,,,,,,,,,
0,0,33.64184581,33.6447901,,,,,Sodium Borate Experimental Values,,,,
0.000999001,0.001,33.7226435,33.72487364,,,,,R,x,Tg(K),m,Reference
0.001996008,0.002,33.80607801,33.80809952,,,,,0.024,0.025,543.6,35.1,Nemilov
0.002991027,0.003,33.89214132,33.8944375,,,,,0.046,0.048,568.3,36.9,Nemilov
0.003984064,0.004,33.98082484,33.98385689,,,,,0.067,0.072,593.5,39.2,Nemilov
0.004975124,0.005,34.07211945,34.07632652,,,,,0.088,0.096,616.7,40.1,Nemilov
0.005964215,0.006,34.16601548,34.17181473,,,,,0.108,0.122,646.2,42.6,Nemilov
0.006951341,0.007,34.26250273,34.27028947,,,,,0.121,0.138,663.9,43.1,Nemilov
0.007936508,0.008,34.36157045,34.37171821,,,,,0.137,0.158,694.6,49.1,Nemilov
0.008919722,0.009,34.46320736,34.47606804,,,,,0.150,0.177,718,48.9,Nemilov
0.00990099,0.01,34.56740166,34.58330564,,,,,0.155,0.183,717.5,51.8,Nemilov
0.010880317,0.011,34.67414098,34.6933973,,,,,0.162,0.193,728.4,55.7,Nemilov
0.011857708,0.012,34.78341248,34.80630896,,,,,0.174,0.211,732.8,57.4,Nemilov
0.012833169,0.013,34.89520273,34.92200617,,,,,0.181,0.221,732.8,57.3,Nemilov
0.013806706,0.014,35.00949784,35.04045416,,,,,0.183,0.224,735.3,59.2,Nemilov
0.014778325,0.015,35.12628335,35.16161785,,,,,0.191,0.236,734.9,57.1,Nemilov
0.015748031,0.016,35.24554433,35.2854618,,,,,0.200,0.251,738.9,51.7,Nemilov
0.016715831,0.017,35.3672653,35.41195033,,,,,0.215,0.273,736.2,59.9,Nemilov
0.017681729,0.018,35.4914303,35.54104742,,,,,0.231,0.300,737.7,62.1,Nemilov
0.018645731,0.019,35.61802285,35.67271681,,,,,0.232,0.302,724.6,60.7,Nemilov
0.019607843,0.02,35.74702596,35.80692198,,,,,0.246,0.327,737.5,61.4,Nemilov
0.020568071,0.021,35.87842218,35.94362615,,,,,0.263,0.357,732.5,66.6,Nemilov
0.021526419,0.022,36.01219353,36.08279234,,,,,0.266,0.362,727.8,69.3,Nemilov
0.022482893,0.023,36.14832156,36.22438331,,,,,0.047,0.049,600.4,38.5,Stolyar et al.
0.0234375,0.024,36.28678733,36.36836165,,,,,0.086,0.094,643.1,40.6,Stolyar et al.
0.024390244,0.025,36.42757143,36.51468975,,,,,0.115,0.130,692,47.4,Stolyar et al.
0.025341131,0.026,36.57065397,36.66332981,,,,,0.118,0.134,689.1,47.8,Stolyar et al.
0.026290166,0.027,36.71601457,36.81424388,,,,,0.158,0.188,738.6,65.5,Stolyar et al.
0.027237354,0.028,36.86363243,36.96739383,,,,,0.174,0.211,747.2,66.3,Stolyar et al.
0.028182702,0.029,37.01348623,37.12274142,,,,,0.183,0.224,749.2,70.4,Stolyar et al.
0.029126214,0.03,37.16555424,37.28024825,,,,,0.192,0.237,750.5,70.2,Stolyar et al.
0.030067895,0.031,37.31981427,37.43987583,,,,,0.202,0.252,749.9,73,Stolyar et al.
0.031007752,0.032,37.47624367,37.60158553,,,,,0.205,0.258,748.8,74.2,Stolyar et al.
0.031945789,0.033,37.63481934,37.76533864,,,,,0.208,0.262,748.5,73.5,Stolyar et al.
0.032882012,0.034,37.7955178,37.93109637,,,,,0.226,0.292,746.9,79.8,Stolyar et al.
0.033816425,0.035,37.95831505,38.09881984,,,,,0.233,0.304,744.6,84.9,Stolyar et al.
0.034749035,0.036,38.12318674,38.26847013,,,,,0.240,0.315,740.7,84.3,Stolyar et al.
0.035679846,0.037,38.29010806,38.44000822,,,,,0.242,0.320,737.6,84.5,Stolyar et al.
0.036608863,0.038,38.45905381,38.6133951,,,,,0.043,0.045,586.2,…,Suzuki et al.
0.037536092,0.039,38.62999834,38.78859167,,,,,0.082,0.090,627.9,…,Suzuki et al.
0.038461538,0.04,38.80291565,38.96555886,,,,,0.119,0.135,684.3,…,Suzuki et al.
0.039385207,0.041,38.97777927,39.14425754,,,,,0.153,0.181,732.8,…,Suzuki et al.
0.040307102,0.042,39.15456241,39.3246486,,,,,0.186,0.228,741.2,…,Suzuki et al.
0.041227229,0.043,39.33323784,39.5066929,,,,,0.216,0.275,741.4,…,Suzuki et al.
0.042145594,0.044,39.51377796,39.69035134,,,,,,,,,
0.043062201,0.045,39.6961548,39.87558483,,,,,,,,,
0.043977055,0.046,39.88034,40.06235429,,,,,,,,,
0.044890162,0.047,40.06630485,40.2506207,,,,,,,,,
0.045801527,0.048,40.25402027,40.44034505,,,,,,,,,
0.046711153,0.049,40.44345682,40.6314884,,,,,,,,,
0.047619048,0.05,40.63458471,40.82401187,,,,,,,,,
0.048525214,0.051,40.82737381,41.01787661,,,,,,,,,
0.049429658,0.052,41.02179364,41.21304388,,,,,,,,,
0.050332384,0.053,41.21781338,41.40947498,,,,,,,,,
0.051233397,0.054,41.4154019,41.60713132,,,,,,,,,
0.052132701,0.055,41.61452774,41.80597436,,,,,,,,,
0.053030303,0.056,41.8151591,42.0059657,,,,,,,,,
0.053926206,0.057,42.01726387,42.20706699,,,,,,,,,
0.054820416,0.058,42.22080967,42.40924003,,,,,,,,,
0.055712937,0.059,42.42576376,42.61244668,,,,,,,,,
0.056603774,0.06,42.63209314,42.81664896,,,,,,,,,
0.057492931,0.061,42.8397645,43.02180898,,,,,,,,,
0.058380414,0.062,43.04874425,43.22788897,,,,,,,,,
0.059266228,0.063,43.25899851,43.43485131,,,,,,,,,
0.060150376,0.064,43.47049313,43.64265849,,,,,,,,,
0.061032864,0.065,43.68319368,43.85127315,,,,,,,,,
0.061913696,0.066,43.89706547,44.06065806,,,,,,,,,
0.062792877,0.067,44.11207354,44.27077614,,,,,,,,,
0.063670412,0.068,44.32818267,44.48159046,,,,,,,,,
0.064546305,0.069,44.54535741,44.69306422,,,,,,,,,
0.065420561,0.07,44.76356203,44.90516081,,,,,,,,,
0.066293184,0.071,44.98276059,45.11784374,,,,,,,,,
0.067164179,0.072,45.2029169,45.3310767,,,,,,,,,
0.068033551,0.073,45.42399452,45.54482355,,,,,,,,,
0.068901304,0.074,45.64595681,45.7590483,,,,,,,,,
0.069767442,0.075,45.8687669,45.97371514,,,,,,,,,
0.07063197,0.076,46.0923877,46.18878842,,,,,,,,,
0.071494893,0.077,46.31678191,46.40423269,,,,,,,,,
0.072356215,0.078,46.54191203,46.62001265,,,,,,,,,
0.073215941,0.079,46.76774036,46.8360932,,,,,,,,,
0.074074074,0.08,46.99422897,47.05243941,,,,,,,,,
0.07493062,0.081,47.22133979,47.26901654,,,,,,,,,
0.075785582,0.082,47.44903454,47.48579004,,,,,,,,,
0.076638966,0.083,47.67727476,47.70272553,,,,,,,,,
0.077490775,0.084,47.9060218,47.91978887,,,,,,,,,
0.078341014,0.085,48.13523688,48.13694606,,,,,,,,,
0.079189687,0.086,48.36488101,48.35416332,,,,,,,,,
0.080036799,0.087,48.59491508,48.57140708,,,,,,,,,
0.080882353,0.088,48.8252998,48.78864396,,,,,,,,,
0.081726354,0.089,49.05599573,49.00584076,,,,,,,,,
0.082568807,0.09,49.28696332,49.22296453,,,,,,,,,
0.083409716,0.091,49.51816284,49.4399825,,,,,,,,,
0.084249084,0.092,49.74955445,49.6568621,,,,,,,,,
0.085086917,0.093,49.9810982,49.87357099,,,,,,,,,
0.085923218,0.094,50.21275398,50.09007705,,,,,,,,,
0.086757991,0.095,50.4444816,50.30634834,,,,,,,,,
0.087591241,0.096,50.67624075,50.52235318,,,,,,,,,
0.088422972,0.097,50.90799101,50.73806008,,,,,,,,,
0.089253188,0.098,51.13969187,50.95343777,,,,,,,,,
0.090081893,0.099,51.37130274,51.16845524,,,,,,,,,
0.090909091,0.1,51.60278294,51.38308165,,,,,,,,,
0.091734787,0.101,51.83409168,51.59728643,,,,,,,,,
0.092558984,0.102,52.06518816,51.81103923,,,,,,,,,
0.093381686,0.103,52.29603146,52.02430991,,,,,,,,,
0.094202899,0.104,52.52658064,52.2370686,,,,,,,,,
0.095022624,0.105,52.75679469,52.44928564,,,,,,,,,
0.095840868,0.106,52.98663255,52.66093162,,,,,,,,,
0.096657633,0.107,53.21605313,52.87197735,,,,,,,,,
0.097472924,0.108,53.44501531,53.08239391,,,,,,,,,
0.098286745,0.109,53.67347795,53.2921526,,,,,,,,,
0.099099099,0.11,53.90139989,53.501225,,,,,,,,,
0.099909991,0.111,54.12873996,53.70958288,,,,,,,,,
0.100719424,0.112,54.35545697,53.91719833,,,,,,,,,
