x,R,Tg w/CO3,Tg CO3 free,,,,,,Sodium Borate Experimental Values,,,,,
0,0,533,533,,,,,,R,x,Tg(K),m,Reference,
0.000999001,0.001,533.7109036,533.7109036,,,,,,0.024,0.025,543.6,35.1,Nemilov,"S. V. Nemilov, Neorg. Mater. 2, 349 (1966)."
0.001996008,0.002,534.4222815,534.4222815,,,,,,0.046,0.048,568.3,36.9,Nemilov,
0.002991027,0.003,535.1341341,535.1341341,,,,,,0.067,0.072,593.5,39.2,Nemilov,
0.003984064,0.004,535.8464619,535.8464619,,,,,,0.088,0.096,616.7,40.1,Nemilov,
0.004975124,0.005,536.5592654,536.5592654,,,,,,0.108,0.122,646.2,42.6,Nemilov,
0.005964215,0.006,537.2725451,537.2725451,,,,,,0.121,0.138,663.9,43.1,Nemilov,
0.006951341,0.007,537.9863014,537.9863014,,,,,,0.137,0.158,694.6,49.1,Nemilov,
0.007936508,0.008,538.7005348,538.7005348,,,,,,0.150,0.177,718,48.9,Nemilov,
0.008919722,0.009,539.4152457,539.4152457,,,,,,0.155,0.183,717.5,51.8,Nemilov,
0.00990099,0.01,540.1304348,540.1304348,,,,,,0.162,0.193,728.4,55.7,Nemilov,
0.010880317,0.011,540.8461024,540.8461024,,,,,,0.174,0.211,732.8,57.4,Nemilov,
0.011857708,0.012,541.562249,541.562249,,,,,,0.181,0.221,732.8,57.3,Nemilov,
0.012833169,0.013,542.2788751,542.2788751,,,,,,0.183,0.224,735.3,59.2,Nemilov,
0.013806706,0.014,542.9959812,542.9959812,,,,,,0.191,0.236,734.9,57.1,Nemilov,
0.014778325,0.015,543.7135678,543.7135678,,,,,,0.200,0.251,738.9,51.7,Nemilov,
0.015748031,0.016,544.4316354,544.4316354,,,,,,0.215,0.273,736.2,59.9,Nemilov,
0.016715831,0.017,545.1501844,545.1501844,,,,,,0.231,0.300,737.7,62.1,Nemilov,
0.017681729,0.018,545.8692153,545.8692153,,,,,,0.232,0.302,724.6,60.7,Nemilov,
0.018645731,0.019,546.5887286,546.5887286,,,,,,0.246,0.327,737.5,61.4,Nemilov,
0.019607843,0.02,547.3087248,547.3087248,,,,,,0.263,0.357,732.5,66.6,Nemilov,
0.020568071,0.021,548.0292044,548.0292044,,,,,,0.266,0.362,727.8,69.3,Nemilov,
0.021526419,0.022,548.7501679,548.7501679,,,,,,0.047,0.049,600.4,38.5,Stolyar et al.,"S. V. Stolyar, V. P. Klyuev, and A. V. Bulaeva, Fiz. Khim. Stekla 10, 447 (1984)."
0.022482893,0.023,549.4716157,549.4716157,,,,,,0.086,0.094,643.1,40.6,Stolyar et al.,
0.0234375,0.024,550.1935484,550.1935484,,,,,,0.115,0.130,692,47.4,Stolyar et al.,
0.024390244,0.025,550.9159664,550.9159664,,,,,,0.118,0.134,689.1,47.8,Stolyar et al.,
0.025341131,0.026,551.6388702,551.6388702,,,,,,0.158,0.188,738.6,65.5,Stolyar et al.,
0.026290166,0.027,552.3622603,552.3622603,,,,,,0.174,0.211,747.2,66.3,Stolyar et al.,
0.027237354,0.028,553.0861373,553.0861373,,,,,,0.183,0.224,749.2,70.4,Stolyar et al.,
0.028182702,0.029,553.8105015,553.8105015,,,,,,0.192,0.237,750.5,70.2,Stolyar et al.,
0.029126214,0.03,554.5353535,554.5353535,,,,,,0.202,0.252,749.9,73,Stolyar et al.,
0.030067895,0.031,555.2606938,555.2606938,,,,,,0.205,0.258,748.8,74.2,Stolyar et al.,
0.031007752,0.032,555.9865229,555.9865229,,,,,,0.208,0.262,748.5,73.5,Stolyar et al.,
0.031945789,0.033,556.7128413,556.7128413,,,,,,0.226,0.292,746.9,79.8,Stolyar et al.,
0.032882012,0.034,557.4396494,557.4396494,,,,,,0.233,0.304,744.6,84.9,Stolyar et al.,
0.033816425,0.035,558.1669477,558.1669477,,,,,,0.240,0.315,740.7,84.3,Stolyar et al.,
0.034749035,0.036,558.8947368,558.8947368,,,,,,0.242,0.320,737.6,84.5,Stolyar et al.,
0.035679846,0.037,559.6230172,559.6230172,,,,,,0.043,0.045,586.2,…,Suzuki et al.,"S. Suzuki, T. Kobayashi, M. Takahashi, and M. Imaoka, J. Ceram. Soc. Jpn. 89, 252 (1981)."
0.036608863,0.038,560.3517893,560.3517893,,,,,,0.082,0.090,627.9,…,Suzuki et al.,
0.037536092,0.039,561.0810537,561.0810537,,,,,,0.119,0.135,684.3,…,Suzuki et al.,
0.038461538,0.04,561.8108108,561.8108108,,,,,,0.153,0.181,732.8,…,Suzuki et al.,
0.039385207,0.041,562.5410612,562.5410612,,,,,,0.186,0.228,741.2,…,Suzuki et al.,
0.040307102,0.042,563.2718053,563.2718053,,,,,,0.216,0.275,741.4,…,Suzuki et al.,
0.041227229,0.043,564.0030436,564.0030436,,,,,,0.00,0.00,533,,Affatigato et al. ,
0.042145594,0.044,564.7347767,564.7347767,,,,,,0.20,0.17,702,,Affatigato et al. ,
0.043062201,0.045,565.4670051,565.4670051,,,,,,0.30,0.23,748,,Affatigato et al. ,
0.043977055,0.046,566.1997292,566.1997292,,,,,,0.50,0.33,752,,Affatigato et al. ,
0.044890162,0.047,566.9329495,566.9329495,,,,,,0.70,0.41,715,,Affatigato et al. ,
0.045801527,0.048,567.6666667,567.6666667,,,,,,1.60,0.62,556,,Affatigato et al. ,
0.046711153,0.049,568.4008811,568.4008811,,,,,,2.00,0.67,530,,Affatigato et al. ,
0.047619048,0.05,569.1355932,569.1355932,,,,,,2.50,0.71,516,,Affatigato et al. ,
0.048525214,0.051,569.8708037,569.8708037,,,,,,3.00,0.75,505,,Affatigato et al. ,
0.049429658,0.052,570.6065129,570.6065129,,,,,,,,,,,
0.050332384,0.053,571.3427214,571.3427214,,,,,,,,,,,
0.051233397,0.054,572.0794297,572.0794297,,,,,,,,,,,
0.052132701,0.055,572.8166384,572.8166384,,,,,,,,,,,
0.053030303,0.056,573.5543478,573.5543478,,,,,,,,,,,
